id,frame_num,area,min_row_bb,min_col_bb,max_row_bb,max_col_bb,centroid_row,centroid_col,major_axis_length,minor_axis_length,max_intensity,mean_intensity,min_intensity
31,109,1719,633,373,680,421,656,396,48.39424528176743,45.63596019479336,181.0,108.79232111692845,83.0
32,109,2856,626,302,690,365,659,333,65.96736074095308,55.39037249040122,152.0,108.10644257703082,86.0
33,109,1658,568,400,622,444,594,422,52.21606741496508,41.0564051855106,151.0,104.69179734620025,85.0
34,109,1607,608,463,657,507,632,486,49.11707068215176,42.12261895441933,153.0,108.13939016801494,84.0
35,109,2207,232,287,291,337,260,311,57.25412271035312,49.34214225744876,126.0,97.90847304032623,83.0
36,109,1903,186,299,232,355,210,326,55.234553346261464,44.09194923260128,136.0,99.70888071466106,81.0
38,109,1427,595,0,655,33,621,13,58.83024139712268,33.51496649130499,108.0,94.61597757533286,85.0
39,109,1420,277,230,320,273,298,251,44.63931396441763,40.60724995081468,130.0,100.10845070422535,83.0
40,109,1591,196,236,243,288,219,262,58.68035768247496,34.705937286097985,118.0,97.70333123821496,85.0
41,109,2057,682,195,733,256,706,226,65.71763658902934,40.59353338935132,194.0,104.24987846378221,83.0
42,109,1532,713,142,758,188,734,164,45.99759108234733,42.728889457939346,155.0,104.06853785900783,83.0
43,109,1869,639,226,680,289,659,257,62.18198524169838,38.521050714749535,141.0,98.77635098983414,84.0
44,109,1920,598,268,642,330,620,300,61.74702469478033,40.06290726550448,128.0,96.621875,84.0
45,109,1336,134,291,180,329,157,310,46.78765527264028,36.53465865106796,121.0,98.54640718562874,86.0
46,109,1546,159,363,199,416,179,389,53.130623801517885,37.270851213553726,117.0,98.57826649417852,84.0
47,109,2071,596,535,651,587,624,560,53.13394512848553,49.86229520528345,150.0,97.24384355383873,83.0
48,109,1387,667,495,702,553,684,523,57.534984490245755,31.226235082031177,137.0,101.66618601297765,85.0
49,109,1708,87,329,132,380,109,355,50.75734221615199,43.08972754150226,128.0,97.97950819672131,84.0
50,109,1374,41,361,87,403,63,382,47.758547106718325,36.8785193138411,128.0,98.5589519650655,85.0
51,109,2007,656,559,705,615,680,584,54.851880603694504,47.263348238542626,121.0,97.46038863976084,84.0
52,109,1425,630,633,675,680,653,658,44.74404230082959,41.68943480283964,115.0,96.26385964912281,85.0
54,109,1771,630,13,681,61,655,37,51.86875669905677,43.86810940950319,141.0,98.02032749858837,83.0
55,109,1989,491,356,545,405,519,379,53.46649829744339,47.650271393841265,141.0,101.49220713926596,82.0
56,109,1997,550,343,600,396,575,368,55.71669551459797,46.11513237607458,141.0,103.31497245868803,84.0
59,109,1928,426,272,474,326,451,297,54.53061166019236,45.653309722138786,147.0,103.36773858921161,83.0
60,109,1596,481,302,528,350,504,325,50.74207635138663,40.428867010200044,153.0,103.9329573934837,86.0
63,109,198,0,496,8,534,3,513,34.444856493751196,8.156250054156294,119.0,101.1969696969697,87.0
65,109,1644,49,678,94,726,72,701,50.393424105656045,41.84506074400951,184.0,105.96776155717761,86.0
66,109,1321,47,643,96,681,71,661,49.70295264712007,33.93068150857406,139.0,102.36109008327026,83.0
67,109,549,195,580,219,613,207,596,31.558048245969093,22.868190719043923,124.0,100.55009107468123,85.0
68,109,1358,127,562,175,600,150,580,47.09378572175779,37.101629028864274,157.0,104.93298969072166,85.0
70,109,531,0,629,16,676,6,652,43.83385140273414,16.859082474601678,129.0,100.53483992467044,86.0
