id,frame_num,area,min_row_bb,min_col_bb,max_row_bb,max_col_bb,centroid_row,centroid_col,major_axis_length,minor_axis_length,max_intensity,mean_intensity,min_intensity
2,12,109,101,27,112,38,106,32,11.783988514976622,11.783988514976622,34075.0,33896.422018348625,33691.0
8,12,145,146,30,159,43,152,36,13.57482456862576,13.57482456862576,33680.0,33566.24827586207,33396.0
20,12,338,103,107,127,126,114,116,26.987076894807508,16.185686652886734,33861.0,33664.476331360944,33482.0
24,12,158,78,144,92,157,84,150,14.677977993398258,13.694681588027827,33935.0,33729.43670886076,33603.0
28,12,208,119,168,134,184,126,176,16.779107888635245,15.796786430741587,33678.0,33532.745192307695,33355.0
32,12,142,168,133,182,144,174,138,15.174106930121475,11.990606652180862,33753.0,33579.2676056338,33340.0
38,12,109,217,123,228,134,222,128,11.783988514976622,11.783988514976622,34220.0,33967.192660550456,33754.0
39,12,142,224,182,238,193,230,187,15.174106930121475,11.990606652180862,34157.0,33948.09859154929,33567.0
46,12,120,75,236,86,248,80,242,12.909944487358056,11.865917579353061,34244.0,33806.583333333336,33399.0
50,12,158,31,246,45,259,38,252,14.677977993398258,13.694681588027827,34020.0,33807.89240506329,33633.0
57,12,78,170,263,179,273,174,268,10.441534419118726,9.457055431575805,33239.0,33191.57692307692,33123.0
63,12,45,205,218,212,225,208,221,7.542472332656507,7.542472332656507,33190.0,33155.02222222222,33128.0
69,12,69,135,276,144,285,139,280,9.337473201948237,9.337473201948237,33250.0,33204.6231884058,33163.0
70,12,45,147,225,154,232,150,228,7.542472332656507,7.542472332656507,33180.0,33143.066666666666,33120.0
75,12,45,322,193,329,200,325,196,7.542472332656507,7.542472332656507,34896.0,34671.13333333333,34270.0
76,12,109,297,202,308,213,302,207,11.783988514976622,11.783988514976622,34940.0,34469.44036697248,33691.0
85,12,45,301,237,308,244,304,240,7.542472332656507,7.542472332656507,34200.0,33993.75555555556,33756.0
86,12,69,330,262,339,271,334,266,9.337473201948237,9.337473201948237,34104.0,33940.42028985507,33788.0
89,12,45,369,199,376,206,372,202,7.542472332656507,7.542472332656507,34340.0,34131.8,33921.0
90,12,69,344,227,353,236,348,231,9.337473201948237,9.337473201948237,34204.0,34019.72463768116,33883.0
97,12,69,433,87,442,96,437,91,9.337473201948237,9.337473201948237,34143.0,33942.840579710144,33740.0
98,12,69,464,82,473,91,468,86,9.337473201948237,9.337473201948237,34201.0,34052.40579710145,33889.0
99,12,208,429,14,445,29,436,21,16.779107888635245,15.796786430741587,33438.0,33346.63461538462,33264.0
104,12,249,548,14,565,31,556,22,17.809342794248536,17.809342794248536,34022.0,33700.36546184739,33454.0
105,12,208,509,163,525,178,516,170,16.779107888635245,15.796786430741587,33228.0,33181.63942307692,33133.0
109,12,145,568,153,581,166,574,159,13.57482456862576,13.57482456862576,33231.0,33180.096551724135,33139.0
113,12,109,630,158,641,169,635,163,11.783988514976622,11.783988514976622,33829.0,33667.7247706422,33514.0
123,12,158,604,30,617,44,610,36,14.677977993398258,13.694681588027827,33768.0,33573.51898734177,33408.0
128,12,69,551,230,560,239,555,234,9.337473201948237,9.337473201948237,34418.0,34168.55072463768,33985.0
129,12,120,551,267,562,279,556,272,12.909944487358056,11.865917579353061,34299.0,34053.166666666664,33695.0
130,12,193,667,24,682,39,674,31,15.675465136763439,15.675465136763439,33833.0,33627.331606217616,33397.0
132,12,266,670,162,688,179,678,170,18.912541091199664,17.928848513570426,33799.0,33512.3984962406,33065.0
134,12,249,673,94,690,111,681,102,17.809342794248536,17.809342794248536,33986.0,33719.06425702811,33153.0
144,12,45,604,190,611,197,607,193,7.542472332656507,7.542472332656507,33087.0,33068.2,33054.0
146,12,52,644,213,651,221,647,216,8.682431421244592,7.605665904189708,33088.0,33070.730769230766,33051.0
152,12,52,624,252,632,259,628,255,8.682431421244592,7.605665904189708,33098.0,33076.36538461538,33052.0
154,12,45,597,290,604,297,600,293,7.542472332656507,7.542472332656507,33115.0,33090.64444444444,33072.0
164,12,45,647,291,654,298,650,294,7.542472332656507,7.542472332656507,33253.0,33225.53333333333,33190.0
165,12,45,624,310,631,317,627,313,7.542472332656507,7.542472332656507,33258.0,33219.666666666664,33180.0
174,12,45,668,289,675,296,671,292,7.542472332656507,7.542472332656507,33161.0,33129.11111111111,33068.0
176,12,69,30,324,39,333,34,328,9.337473201948237,9.337473201948237,33162.0,33079.811594202896,33048.0
178,12,69,102,332,111,341,106,336,9.337473201948237,9.337473201948237,33648.0,33502.97101449275,33398.0
184,12,45,68,357,75,364,71,360,7.542472332656507,7.542472332656507,33611.0,33536.26666666667,33478.0
193,12,69,106,382,115,391,110,386,9.337473201948237,9.337473201948237,33895.0,33785.057971014496,33599.0
194,12,69,156,389,165,398,160,393,9.337473201948237,9.337473201948237,33952.0,33810.04347826087,33688.0
216,12,78,279,299,289,308,284,303,10.441534419118726,9.457055431575805,34217.0,33822.217948717946,33129.0
220,12,69,262,270,271,279,266,274,9.337473201948237,9.337473201948237,34484.0,34260.75362318841,34022.0
224,12,45,215,327,222,334,218,330,7.542472332656507,7.542472332656507,34234.0,34051.0,33792.0
229,12,45,265,338,272,345,268,341,7.542472332656507,7.542472332656507,34183.0,33902.46666666667,33379.0
234,12,56,346,311,354,319,350,314,9.023778112773575,7.837638128197259,34372.0,34207.42857142857,34071.0
236,12,45,377,292,384,299,380,295,7.542472332656507,7.542472332656507,34064.0,33872.444444444445,33736.0
237,12,45,325,339,332,346,328,342,7.542472332656507,7.542472332656507,33719.0,33607.62222222222,33517.0
241,12,59,204,371,211,380,207,375,9.825597838368713,7.653513649719367,33566.0,33492.338983050846,33413.0
245,12,58,249,426,257,434,253,430,8.88237309079831,8.300537925063779,33630.0,33492.93103448276,33410.0
252,12,45,415,286,422,293,418,289,7.542472332656507,7.542472332656507,34009.0,33795.0,33536.0
259,12,25,348,454,353,459,350,456,5.656854249492381,5.656854249492381,35087.0,34815.08,34616.0
261,12,25,324,441,329,446,326,443,5.656854249492381,5.656854249492381,34819.0,34649.08,34400.0
268,12,25,418,331,423,336,420,333,5.656854249492381,5.656854249492381,33913.0,33809.56,33681.0
273,12,45,369,346,376,353,372,349,7.542472332656507,7.542472332656507,33768.0,33674.822222222225,33550.0
278,12,45,423,366,430,373,426,369,7.542472332656507,7.542472332656507,33917.0,33788.77777777778,33696.0
280,12,45,468,344,475,351,471,347,7.542472332656507,7.542472332656507,33789.0,33654.177777777775,33524.0
287,12,52,407,421,414,429,410,424,8.682431421244592,7.605665904189708,34303.0,34082.28846153846,33868.0
294,12,25,373,403,378,408,375,405,5.656854249492381,5.656854249492381,33418.0,33362.56,33309.0
298,12,52,161,456,168,464,164,460,8.682431421244592,7.605665904189708,33541.0,33474.21153846154,33398.0
302,12,45,72,412,79,419,75,415,7.542472332656507,7.542472332656507,33210.0,33175.37777777778,33140.0
306,12,45,100,451,107,458,103,454,7.542472332656507,7.542472332656507,33262.0,33224.08888888889,33175.0
310,12,25,123,496,128,501,125,498,5.656854249492381,5.656854249492381,33926.0,33835.88,33712.0
311,12,25,100,526,105,531,102,528,5.656854249492381,5.656854249492381,33966.0,33890.92,33782.0
318,12,25,209,469,214,474,211,471,5.656854249492381,5.656854249492381,33544.0,33463.6,33398.0
323,12,45,213,523,220,530,216,526,7.542472332656507,7.542472332656507,33492.0,33434.28888888889,33368.0
325,12,45,239,501,246,508,242,504,7.542472332656507,7.542472332656507,33646.0,33515.48888888889,33440.0
332,12,78,164,538,174,547,168,542,10.441534419118726,9.457055431575805,34339.0,34137.46153846154,33876.0
338,12,25,224,568,229,573,226,570,5.656854249492381,5.656854249492381,33887.0,33810.52,33724.0
339,12,25,160,583,165,588,162,585,5.656854249492381,5.656854249492381,34071.0,33889.8,33725.0
342,12,35,298,495,304,501,300,497,6.9282032302755105,6.490180966628885,33603.0,33513.485714285714,33431.0
353,12,25,274,542,279,547,276,544,5.656854249492381,5.656854249492381,33490.0,33425.56,33347.0
359,12,30,94,572,99,578,96,574,6.831300510639732,5.656854249492381,34128.0,34024.73333333333,33936.0
361,12,25,122,545,127,550,124,547,5.656854249492381,5.656854249492381,34011.0,33882.64,33780.0
368,12,25,115,605,120,610,117,607,5.656854249492381,5.656854249492381,35150.0,34897.16,34643.0
375,12,35,362,501,368,507,364,503,6.9282032302755105,6.490180966628885,34098.0,33816.65714285714,33407.0
378,12,25,333,530,338,535,335,532,5.656854249492381,5.656854249492381,34520.0,34289.6,34136.0
386,12,30,286,583,291,589,288,586,6.831300510639732,5.656854249492381,33751.0,33687.433333333334,33539.0
398,12,25,184,611,189,616,186,613,5.656854249492381,5.656854249492381,34566.0,34285.84,33985.0
411,12,25,249,593,254,598,251,595,5.656854249492381,5.656854249492381,36863.0,36474.56,35035.0
413,12,25,245,620,250,625,247,622,5.656854249492381,5.656854249492381,36863.0,36674.76,35488.0
416,12,45,341,592,348,599,344,595,7.542472332656507,7.542472332656507,33922.0,33820.044444444444,33707.0
420,12,25,388,591,393,596,390,593,5.656854249492381,5.656854249492381,34799.0,34147.96,33819.0
431,12,87,411,534,420,545,415,539,11.554966091655585,9.550831943061175,35547.0,34568.64367816092,33818.0
443,12,45,509,568,516,575,512,571,7.542472332656507,7.542472332656507,33851.0,33703.066666666666,33549.0
444,12,45,481,588,488,595,484,591,7.542472332656507,7.542472332656507,33846.0,33707.933333333334,33610.0
452,12,25,82,632,87,637,84,634,5.656854249492381,5.656854249492381,33166.0,33141.92,33119.0
454,12,25,129,646,134,651,131,648,5.656854249492381,5.656854249492381,33169.0,33149.88,33125.0
457,12,69,330,1005,339,1014,334,1009,9.337473201948237,9.337473201948237,34277.0,34058.840579710144,33832.0
458,12,69,356,984,365,993,360,988,9.337473201948237,9.337473201948237,34228.0,34079.391304347824,33905.0
466,12,69,379,951,388,960,383,955,9.337473201948237,9.337473201948237,33853.0,33729.710144927536,33560.0
467,12,142,389,904,400,918,394,910,15.174106930121475,11.990606652180862,34069.0,33719.2676056338,33348.0
475,12,45,405,1021,412,1028,408,1024,7.542472332656507,7.542472332656507,35890.0,35538.666666666664,35138.0
480,12,109,448,942,459,953,453,947,11.783988514976622,11.783988514976622,34574.0,34067.807339449544,33847.0
481,12,45,444,993,451,1000,447,996,7.542472332656507,7.542472332656507,34424.0,34228.15555555555,33983.0
482,12,69,428,1052,437,1061,432,1056,9.337473201948237,9.337473201948237,34088.0,33839.52173913043,33702.0
489,12,45,520,1017,527,1024,523,1020,7.542472332656507,7.542472332656507,33935.0,33754.37777777778,33615.0
490,12,45,513,992,520,999,516,995,7.542472332656507,7.542472332656507,34173.0,33903.97777777778,33715.0
500,12,45,571,1017,578,1024,574,1020,7.542472332656507,7.542472332656507,34336.0,34128.2,33953.0
501,12,52,548,989,555,997,551,992,8.682431421244592,7.605665904189708,34362.0,34143.096153846156,33822.0
512,12,45,590,1060,597,1067,593,1063,7.542472332656507,7.542472332656507,33946.0,33768.02222222222,33637.0
516,12,45,613,1057,620,1064,616,1060,7.542472332656507,7.542472332656507,33900.0,33755.35555555556,33538.0
524,12,69,483,1052,492,1061,487,1056,9.337473201948237,9.337473201948237,33943.0,33714.07246376811,33412.0
526,12,45,522,1042,529,1049,525,1045,7.542472332656507,7.542472332656507,34209.0,33980.46666666667,33716.0
530,12,45,516,1070,523,1077,519,1073,7.542472332656507,7.542472332656507,34114.0,33914.8,33646.0
543,12,45,407,998,414,1005,410,1001,7.542472332656507,7.542472332656507,35299.0,35103.0,34805.0
550,12,25,40,720,45,725,42,722,5.656854249492381,5.656854249492381,34222.0,34037.64,33864.0
551,12,25,61,764,66,769,63,766,5.656854249492381,5.656854249492381,34153.0,34053.56,33914.0
557,12,25,69,657,74,662,71,659,5.656854249492381,5.656854249492381,34429.0,34194.6,33996.0
558,12,25,86,739,91,744,88,741,5.656854249492381,5.656854249492381,34467.0,34329.44,34173.0
560,12,48,112,773,120,782,116,777,11.72348333100922,5.764252358651177,34413.0,34177.666666666664,34015.0
562,12,25,119,739,124,744,121,741,5.656854249492381,5.656854249492381,34294.0,34101.72,33858.0
571,12,25,182,672,187,677,184,674,5.656854249492381,5.656854249492381,33861.0,33765.2,33661.0
572,12,25,121,684,126,689,123,686,5.656854249492381,5.656854249492381,34220.0,33971.88,33848.0
581,12,52,182,761,190,768,186,764,8.682431421244592,7.605665904189708,34338.0,34100.230769230766,33935.0
582,12,45,149,712,156,719,152,715,7.542472332656507,7.542472332656507,34429.0,34266.066666666666,34121.0
583,12,77,217,705,228,713,222,709,12.052091704369492,8.183873893703677,34634.0,34062.61038961039,33145.0
593,12,56,229,743,237,751,232,746,9.023778112773575,7.837638128197259,34240.0,34011.71428571428,33848.0
604,12,111,92,819,107,830,99,824,17.799753096948546,8.466104029424725,34401.0,34161.78378378379,33872.0
606,12,45,126,852,133,859,129,855,7.542472332656507,7.542472332656507,34739.0,34446.35555555556,34170.0
614,12,45,87,859,94,866,90,862,7.542472332656507,7.542472332656507,34348.0,34199.71111111111,34098.0
616,12,45,157,869,164,876,160,872,7.542472332656507,7.542472332656507,34246.0,34048.0,33894.0
623,12,45,75,1013,82,1020,78,1016,7.542472332656507,7.542472332656507,33872.0,33687.333333333336,33576.0
624,12,45,63,1043,70,1050,66,1046,7.542472332656507,7.542472332656507,33744.0,33661.53333333333,33554.0
625,12,45,34,972,41,979,37,975,7.542472332656507,7.542472332656507,34397.0,34123.26666666667,33844.0
638,12,45,263,910,270,917,266,913,7.542472332656507,7.542472332656507,34312.0,34031.97777777778,33866.0
